company_name,business_type,address,phone_number,website,rating,review_count,review_snippet,opening_time,google_maps_link,review_count_num
Honeywell Automation India Limited,Automation company,·,080027 45959,https://www.honeywell.com/in/en/hail,4.4,"(1,049)","""I went there to get trained on Industrial Automation.""",,https://www.google.com/maps/place/Honeywell+Automation+India+Limited/data=!4m7!3m6!1s0x3bc2c1eb2f43577f:0x48d6dae7429007f4!8m2!3d18.51127!4d73.915844!16s%2Fg%2F1tfgh89g!19sChIJf1dDL-vBwjsR9AeQQufa1kg?authuser=0&hl=en&rclk=1,1049.0
LivFuture Automation & Security Pvt. Ltd.,Automation company,·,084484 54548,https://livfuture.com/,4.9,(993),On-site services,· Opens 8 am Tue,https://www.google.com/maps/place/LivFuture+Automation+%26+Security+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2c6c5c1555555:0xc7fc0aea32f70268!8m2!3d18.570288!4d73.9107221!16s%2Fg%2F1tdvhmft!19sChIJVVVVwcXGwjsRaAL3MuoK_Mc?authuser=0&hl=en&rclk=1,993.0
Dhanandip Automation,Automation company,·,070300 00421,http://www.dhanandip.com/,4.8,(330),"""Highly recommended for",· Opens 10 am Tue,https://www.google.com/maps/place/Dhanandip+Automation/data=!4m7!3m6!1s0x3bc295920a0f34eb:0x1267fe4fff49c748!8m2!3d18.4667096!4d73.8227794!16s%2Fg%2F11fkh05k31!19sChIJ6zQPCpKVwjsRSMdJ_0_-ZxI?authuser=0&hl=en&rclk=1,330.0
General Industrial Controls Private Limited ( GIC ),Electronics Company,·,,https://www.gicindia.com/,4.3,(172),On-site services,· Opens 9 am Tue,https://www.google.com/maps/place/General+Industrial+Controls+Private+Limited+%28+GIC+%29/data=!4m7!3m6!1s0x3bc2b9c745555555:0xe9364b8b778438c6!8m2!3d18.6257204!4d73.8284128!16s%2Fg%2F1tdp81xv!19sChIJVVVVRce5wjsRxjiEd4tLNuk?authuser=0&hl=en&rclk=1,172.0
TE Connectivity,Electronics Company,"Survey No. 166/3, Gut No. 95, Rahu Road, , Kesnand",,https://www.google.com/aclk?sa=L&ai=DChsSEwiIq6Gh0LGUAxXuJnsHHWN1L3YYACICCAEQAhoCdG0&co=1&ase=2&gclid=Cj0KCQjw_IXQBhCkARIsADqELbKo0RLA20xQxsVQpqIfWU729-r7sYxnNULP1VF9yl2dTyLlmPdnCSAaApJzEALw_wcB&cid=CAAS0wHkaFqy-klFrbLqw0g5hFpRe5DE3SoYpslt17SSL-VrlrGcp-D5Rn5kyWxLvomm_BdFxmqIzdvEKIZjQtX8xSwev6HPQnAhK91SHpcsTOPkQ3PZYzeB5Eu0jEnkHcS9cqwpdYj3XxCBMXx8pxBZVXRpZIytpM9qyWV2X0etrOhEYAHulHm6ocPtgubFSvZzVyYwZhIo2LesVqEkDgp5W3l5OvP7Dim-lSyGxJrNIfj9KHW6FiS1cL7brP54ezAVtnid0FZ7ZDQaqySlhUZ8C1CNxj2g&cce=2&category=acrcp_v1_32&sig=AOD64_3JNWwMwlUnMGgIf1Fpny4HXaK-3w&adurl&q&ctype=99&nis=6,4.5,(170),,· Opens 7:30 am Tue,https://www.google.com/maps/place/TE+Connectivity/data=!4m7!3m6!1s0x3bc2c30a8032b1e9:0x8045581be64d14f0!8m2!3d18.575159!4d74.014871!16s%2Fg%2F11ftcs1xd5!19sChIJ6bEygArDwjsR8BRN5htYRYA?authuser=0&hl=en&rclk=1,170.0
Virtuoso Projects & Engineers Pvt. Ltd. | Automation Company,Automation company,·,083800 96751,https://www.vpel.in/,4.0,(157),On-site services,· Opens 9:30 am Tue,https://www.google.com/maps/place/Virtuoso+Projects+%26+Engineers+Pvt.+Ltd.+%7C+Automation+Company/data=!4m7!3m6!1s0x3bc2c3d805118681:0xa24629139eeec53b!8m2!3d18.5434674!4d73.9362663!16s%2Fg%2F11c1xnvw_2!19sChIJgYYRBdjDwjsRO8XunhMpRqI?authuser=0&hl=en&rclk=1,157.0
FAITH AUTOMATION SYSTEMS & TOOLING PVT LTD,Automation company,·,,http://www.faithautomation.com/,4.5,(140),"""Faith automation was very good company.""",· Opens 8:30 am Tue,https://www.google.com/maps/place/FAITH+AUTOMATION+SYSTEMS+%26+TOOLING+PVT+LTD/data=!4m7!3m6!1s0x3bc2b80ab4310fc7:0x5fa75e9cce4155fe!8m2!3d18.7228371!4d73.8209125!16s%2Fg%2F11bbrn08xc!19sChIJxw8xtAq4wjsR_lVBzpxep18?authuser=0&hl=en&rclk=1,140.0
Trace Automation Pvt. Ltd,Industrial consultant,"CST No 414 Guruwar Peth Jaishankar Height Gauri, Khadakmal Ali Rd",096571 35101,http://www.traceautomationindia.in/,4.7,(122),"""Service is very fast and good quality product supplied.""",· Opens 10 am Tue,https://www.google.com/maps/place/Trace+Automation+Pvt.+Ltd/data=!4m7!3m6!1s0x3bc2c076f6ce7457:0x3f4ba2df5ea5a99a!8m2!3d18.5091829!4d73.8611014!16s%2Fg%2F11cmvt3lyy!19sChIJV3TO9nbAwjsRmqmlXt-iSz8?authuser=0&hl=en&rclk=1,122.0
"Kuksons Electronics Private Limited, Bhosari",Automation company,"Unit 14, Electronic Sadan III",020 3054 6106,https://kuksons.com/m/contact.html,3.6,(116),"""Good company for work.""",· Opens 9 am Tue,"https://www.google.com/maps/place/Kuksons+Electronics+Private+Limited,+Bhosari/data=!4m7!3m6!1s0x3bc2c065a7c56561:0x7a93cc4d06cb12aa!8m2!3d18.6407778!4d73.8338481!16s%2Fg%2F1tkbwp31!19sChIJYWXFp2XAwjsRqhLLBk3Mk3o?authuser=0&hl=en&rclk=1",116.0
"Starrbot Automations Pvt. Ltd. - Motion Sensor Light Manufacturers, Suppliers, Dealers",Automation company,"5th Floor, DNK Capital, Office no, Katraj - Kondhwa Rd",020 6766 8830,https://starrbot.com/,4.4,(110),On-site services,· Opens 9:30 am Tue,"https://www.google.com/maps/place/Starrbot+Automations+Pvt.+Ltd.+-+Motion+Sensor+Light+Manufacturers,+Suppliers,+Dealers/data=!4m7!3m6!1s0x3bc2c17b65ae9373:0xf97888e9a16f9687!8m2!3d18.4513837!4d73.8818294!16s%2Fg%2F11kgsmr_2r!19sChIJc5OuZXvBwjsRh5ZvoemIePk?authuser=0&hl=en&rclk=1",110.0
