company_name,business_url,city,primary_category,secondary_category,rating,rating_count,business_age,business_age_label
Cotmac Electronics Pvt Ltd (Corporate Office),https://www.justdial.com/Pune/Cotmac-Electronics-Pvt-Ltd-Corporate-Office-Midc-Area-Indrayani-Corner-Bhosari-Industrial-Estate/020PZE00506_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-ddsrhgv,Pune,Electronic Equipment Dealers,CCTV Installation Services,4.1,281 Ratings,,
Smartline Systems,https://www.justdial.com/Pune/Smartline-Systems-Near-Tata-Motors-Pimpri-Chinchwad-East/020PXX20-XX20-111208202718-R1K7_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-zsn1gbk,Pune,Electronic Goods Manufacturers,Electronic Equipment Manufacturers,5.0,163 Ratings,23 Years,in Business
Accurate Industrial Controls Pvt Ltd,https://www.justdial.com/Pune/Accurate-Industrial-Controls-Pvt-Ltd-Shivane-Khadakwasla/020PXX20-XX20-001010845400-T4X3_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-vvk6rey,Pune,Electronic Equipment Manufacturers,Control Panel Manufacturers,4.3,126 Ratings,26 Years,in Business
Intelux Electronics Pvt Ltd,https://www.justdial.com/Pune/Intelux-Electronics-Pvt-Ltd-Near-Dran-Pari-Company-Dhayari/020PXX20-XX20-120205225318-Y1X5_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-7w0u58i,Pune,Isolation Transformer Manufacturers,Transformer Manufacturers,4.3,84 Ratings,14 Years,in Business
Shree Engineering,https://www.justdial.com/Pune/Shree-Engineering-Warkhade-Nagar-Katraj/020P1220348926B8D5B5_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-ln6rg1g,Pune,,,4.3,76 Ratings,21 Years,in Business
Technofour,https://www.justdial.com/Pune/Technofour-Near-Sangam-Bridge-Camp/020P5000417_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-00v0xmx,Pune,Electronic Equipment Manufacturers,Conductivity Meter Manufacturers,4.2,47 Ratings,54 Years,in Business
Lumiserve Electronics Pvt Ltd,https://www.justdial.com/Pune/Lumiserve-Electronics-Pvt-Ltd-Pimpri/020PXX20-XX20-230729021756-N7L9_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-3fwk1u8,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,4.7,41 Ratings,,
Perifon Electronics India Pvt Ltd,https://www.justdial.com/Pune/Perifon-Electronics-India-Pvt-Ltd-Chikhali/020PXX20-XX20-250102201713-C1Q9_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-jt9vebi,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,5.0,21 Ratings,,
Ul Electrodevices Pvt Ltd,https://www.justdial.com/Pune/Ul-Electrodevices-Pvt-Ltd-Near-Shatrunjay-Temple-Opposite-Amit-Palace-Katraj/020P5075874_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-v4x3zda,Pune,Cable Harness Manufacturers,Electronic Equipment Manufacturers,3.8,26 Ratings,21 Years,in Business
Vinit Electronics & Electricals,https://www.justdial.com/Pune/Vinit-Electronics-Electricals-Near-Prabhat-Talkies-Budhwar-Peth/020PXX20-XX20-000382860102-C5N8_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-ddsrhgv,Pune,Electrical Equipment Manufacturers,Electronic Component Manufacturers,4.0,20 Ratings,35 Years,in Business
