"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","W4Efsd 6","UsdlK","Jn12ke src","ah5Ghc","doJOZc","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/TE+Connectivity/data=!4m7!3m6!1s0x3bc2c30a8032b1e9:0x8045581be64d14f0!8m2!3d18.575159!4d74.014871!16s%2Fg%2F11ftcs1xd5!19sChIJ6bEygArDwjsR8BRN5htYRYA?authuser=0&hl=en&rclk=1","TE Connectivity","4.5","(170)","Electronics Company","·","Survey No. 166/3, Gut No. 95, Rahu Road, , Kesnand","Closed","· Opens 7:30 am Tue","https://www.google.com/aclk?sa=L&ai=DChsSEwiw3Ofg0LGUAxXP_0wCHfRvF6AYACICCAEQARoCdG0&co=1&ase=2&gclid=Cj0KCQjw_IXQBhCkARIsADqELbLv7MaX9mlIWItWq50Pp1tC2t5wTbkMOPAuk5FhP5Fu0lbuoS9BYDkaAp2LEALw_wcB&cid=CAAS0wHkaPo0_gPXdysjV3gvHgnAw-Bsjx-wgN3M88TNvQmBqzi8UemXXqV2yk4RGhf2QgxXEGvLFkLq_OjoDqWvuFzH9R6IY2K9KVc1j8thxt4KGb1rXzYcaFi8OgRXRVQpQS8GAmA6dAH_FXf7jXdRwj7QjvOqKGGKOvzIkWm-5ItUU-f__A5fNyUFJGJZvG4p-znR3VWmy8nx8nrubS8Suqu7aJIB-FbeboJcWOVXNbrhlCKbbKEuEhvWmAanpBgJGmOp4I5aLv4dcUqYFGYycZz2FeJ5&cce=2&category=acrcp_v1_32&sig=AOD64_2u5T5cDRLEtEIQ3bt469K1m1HKCA&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/UNI-TECH+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2959ea98d96e3:0x7db632514e2916a3!8m2!3d18.468463!4d73.792137!16s%2Fg%2F1tcvxwb0!19sChIJ45aNqZ6VwjsRoxYpTlEytn0?authuser=0&hl=en&rclk=1","UNI-TECH Automation Pvt. Ltd.","4.5","(41)","Manufacturer","·","79, Survey No. Plot No.7, 2, near Ramelex Industries Limited","Closed","· Opens 9:30 am Tue","https://www.uni-techautomation.com/","","Website","","Directions","·","083900 39700","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good company""","",""
"https://www.google.com/maps/place/Kneo+Automation+Pvt+Ltd-+Industrial+Automation%7C+Digitization%7C+Industry+4.0+solutions/data=!4m7!3m6!1s0x3bc2be316fb02be1:0xc34ecebb1cc3c50c!8m2!3d18.4886816!4d73.7929905!16s%2Fg%2F11c3sr7hjc!19sChIJ4SuwbzG-wjsRDMXDHLvOTsM?authuser=0&hl=en&rclk=1","Kneo Automation Pvt Ltd- Industrial Automation| Digitization| Industry 4.0 solutions","4.0","(20)","Manufacturer","·","501-505 , Fifth floor Building- Highway Heights","Closed","· Opens 9:30 am Tue","http://kneo.in/","","Website","","Directions","·","077090 15122","","","",""
"https://www.google.com/maps/place/B%26R+Industrial+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2953358b5de17:0xf8a4e05b3109e78d!8m2!3d18.543896!4d73.851008!16s%2Fg%2F1v3klj46!19sChIJF961WDOVwjsRjecJMVvgpPg?authuser=0&hl=en&rclk=1","B&R Industrial Automation Pvt. Ltd.","4.5","(21)","Automation company","·","Tara Heights, Old Mumbai - Pune Hwy","Closed","· Opens 9:30 am Tue","http://www.br-automation.com/","","Website","","Directions","·","020 4147 8999","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great place to visit for Automation &Robotics""","",""
"https://www.google.com/maps/place/iPAC+Automation+Pvt+Ltd+%7C+Control+Systems+%26+Instrumentation/data=!4m7!3m6!1s0x3bc2c268e91165c7:0xee25ff38b41f4543!8m2!3d18.5181316!4d73.9359792!16s%2Fg%2F1hm4xxhz5!19sChIJx2UR6WjCwjsRQ0UftDj_Je4?authuser=0&hl=en&rclk=1","iPAC Automation Pvt Ltd | Control Systems & Instrumentation","4.0","(89)","Automation company","·","·","Closed","· Opens 9 am Tue","https://www.ipacautomation.com/","","Website","","Directions","Office no. 411, 4th floor, Amanora chambers","092700 01751","","On-site services","","Online appointments"
"https://www.google.com/maps/place/Infinity+Automation+Systems+Private+Limited/data=!4m7!3m6!1s0x3bc2b9ab24a4f70b:0x87634e76b1c5b769!8m2!3d18.6201866!4d73.7489987!16s%2Fg%2F11hyl4l_32!19sChIJC_ekJKu5wjsRabfFsXZOY4c?authuser=0&hl=en&rclk=1","Infinity Automation Systems Private Limited","4.3","(51)","Automation company","·","·","Closed","· Opens 8:30 am Tue","http://www.infinityautomations.com/","","Website","","Directions","S No, 80/2A, Mumbai Bangalore Bypass Highway, near JSPM Engg. College","093256 40285","","On-site services","","Online appointments"
"https://www.google.com/maps/place/Analogic+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc29524b5ea70bb:0x2e979615a9f0591e!8m2!3d18.4543656!4d73.8190415!16s%2Fg%2F11xtxg9pb!19sChIJu3DqtSSVwjsRHlnwqRWWly4?authuser=0&hl=en&rclk=1","Analogic Automation Pvt. Ltd.","4.2","(44)","Automation company","·","Survey No. 45/13/1&2,Sinhgad Institute of Pharmacy, Narhe Road, near Bank of Maharashtra","Closed","· Opens 9 am Tue","http://www.analogic.co.in/","","Website","","Directions","·","020 6643 6800","","","",""
"https://www.google.com/maps/place/FAITH+AUTOMATION+SYSTEMS+%26+TOOLING+PVT+LTD/data=!4m7!3m6!1s0x3bc2b80ab4310fc7:0x5fa75e9cce4155fe!8m2!3d18.7228371!4d73.8209125!16s%2Fg%2F11bbrn08xc!19sChIJxw8xtAq4wjsR_lVBzpxep18?authuser=0&hl=en&rclk=1","FAITH AUTOMATION SYSTEMS & TOOLING PVT LTD","4.5","(140)","Automation company","·","·","Closed","· Opens 8:30 am Tue","http://www.faithautomation.com/","","Website","","Directions","GAT NO. 613-1, behind SPICER INDIA","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Faith automation was very good company.""","",""
