"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Thermo+Instruments+%E2%80%93+Thermo+couple,Rtd,Temperature+sensor%2Findicator,pt+100,k%2Fj%2FS+type+thermocouples+in+pune,hosur,+oragadam/data=!4m7!3m6!1s0x3bc2c749c20e7b23:0x1b7f72d8993d28f3!8m2!3d18.637417!4d73.8453586!16s%2Fg%2F11h6lzfqb6!19sChIJI3sOwknHwjsR8yg9mdhyfxs?authuser=0&hl=en&rclk=1","Thermo Instruments – Thermo couple,Rtd,Temperature sensor/indicator,pt 100,k/j/S type thermocouples in pune,hosur, oragadam","5.0","(84)","Manufacturer","·","Shop No 13/4, Ellora Shopee","Closed","· Opens 9 am Tue","·","098604 11186","https://www.thermocouplesrtd.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Helpful Staff and good quality of sensor"""
"https://www.google.com/maps/place/Uni-Automation+%28I%29+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2c00fe5555555:0xdc8151aab3ce67b3!8m2!3d18.4977282!4d73.8534561!16s%2Fg%2F1tfkzn9y!19sChIJVVVV5Q_AwjsRs2fOs6pRgdw?authuser=0&hl=en&rclk=1","Uni-Automation (I) Pvt. Ltd.","4.8","(12)","Manufacturer","·","202 Vyankatesh Apartments opposite Patil Plaza, near Parvati","Closed","· Opens 10 am Tue","·","020 2442 0890","http://www.uniautomation.com/","","Website","","Directions","",""
"https://www.google.com/maps/place/Jaycee+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3bc295d534e5debd:0x34d88dce70452bcf!8m2!3d18.4689148!4d73.7938373!16s%2Fg%2F1tcv4s2z!19sChIJvd7lNNWVwjsRzytFcM6N2DQ?authuser=0&hl=en&rclk=1","Jaycee Technologies Pvt Ltd","4.5","(26)","Manufacturer","·","Shed No. 7, Nanekar Industry Building Survey No. 79/2 Dangat Industrial Estate","Closed","· Opens 9:30 am Tue","·","085549 82251","https://jayceetech.com/","","Website","","Directions","","In-store shopping"
"https://www.google.com/maps/place/AM+Electronics+%E2%80%93+Electronic+Components+Store+in+Pune/data=!4m7!3m6!1s0x3bc2c15b28ad9f6f:0x68c1e29ad2e97b80!8m2!3d18.517171!4d73.857338!16s%2Fg%2F11j1f4rqfn!19sChIJb5-tKFvBwjsRgHvp0priwWg?authuser=0&hl=en&rclk=1","AM Electronics – Electronic Components Store in Pune","4.8","(499)","Electronic parts supplier","·","1st floor, Bhavana, 105, Vishnu","Closed","· Opens 10 am Tue","·","070280 52537","https://www.amelectronics.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good quality"
"https://www.google.com/maps/place/Starrbot+Automations+Pvt.+Ltd.+-+Motion+Sensor+Light+Manufacturers,+Suppliers,+Dealers/data=!4m7!3m6!1s0x3bc2c17b65ae9373:0xf97888e9a16f9687!8m2!3d18.4513837!4d73.8818294!16s%2Fg%2F11kgsmr_2r!19sChIJc5OuZXvBwjsRh5ZvoemIePk?authuser=0&hl=en&rclk=1","Starrbot Automations Pvt. Ltd. - Motion Sensor Light Manufacturers, Suppliers, Dealers","4.4","(110)","Automation company","·","5th Floor, DNK Capital, Office no, Katraj - Kondhwa Rd","Closed","· Opens 9:30 am Tue","·","020 6766 8830","https://starrbot.com/","","Website","","Directions","","On-site services"
"https://www.google.com/maps/place/Surya+Industrial+Products-+Temperature%2FThermocouple%2FRTD+Sensor%2FCoil+Heater%2FMold+Temperature%2FPID+Controller+Manufacturers+Pune/data=!4m7!3m6!1s0x3bc2b9beaf9c047b:0x46b25dd827c01c76!8m2!3d18.6200199!4d73.841729!16s%2Fg%2F11wwf6xmbh!19sChIJewScr765wjsRdhzAJ9hdskY?authuser=0&hl=en&rclk=1","Surya Industrial Products- Temperature/Thermocouple/RTD Sensor/Coil Heater/Mold Temperature/PID Controller Manufacturers Pune","5.0","(5)","Manufacturer","·","ABHISHEK MEADOWS, F-203, 2 ND FLOOR, TELCO ROAD, CHOWK","Closed","· Opens 9:30 am Tue","·","098221 94522","https://www.suryaindustrialproducts.com/","","Website","","Directions","","On-site services"
"https://www.google.com/maps/place/Expert+systems/data=!4m7!3m6!1s0x3bc2c1677a4701cd:0x9626b21c4e253602!8m2!3d18.4696882!4d73.8604161!16s%2Fg%2F11fl0zkb3t!19sChIJzQFHemfBwjsRAjYlThyyJpY?authuser=0&hl=en&rclk=1","Expert systems","5.0","(3)","Electronics manufacturer","·","Unit No. 78-79, A wing, 4th Floor","Closed","· Opens 10 am Tue","·","088056 07810","https://www.expertsystems.in/","","Website","","Directions","",""
"https://www.google.com/maps/place/Thermo+Instruments-Temperature+controller+and+indicator+manufacturer,+R%2FS+type+thermocouple+repair+Pune,+PCMC,+Chakan,India/data=!4m7!3m6!1s0x3bc2c76243156995:0xc9184d60a5b92ca4!8m2!3d18.6575662!4d73.8496116!16s%2Fg%2F11q_2b56_h!19sChIJlWkVQ2LHwjsRpCy5pWBNGMk?authuser=0&hl=en&rclk=1","Thermo Instruments-Temperature controller and indicator manufacturer, R/S type thermocouple repair Pune, PCMC, Chakan,India","5.0","(27)","Manufacturer","·","Gate no 454, adarsh nagar, morya colony no 1, near kajale petrol pump","Closed","· Opens 9 am Tue","·","093261 61617","http://www.thermoinstruments.co.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Affordable and high-precision"
